"Indicator.Code","Indicator.Name"
"HH.DHS.TR.12.F","DHS: Transition rate. Primary to Secondary. Female"
"HH.DHS.TR.12.M","DHS: Transition rate. Primary to Secondary. Male"
"HH.DHS.TR.12.Q1","DHS: Transition rate. Primary to Secondary. Quintile 1"
"HH.DHS.TR.12.Q2","DHS: Transition rate. Primary to Secondary. Quintile 2"
"HH.DHS.TR.12.Q3","DHS: Transition rate. Primary to Secondary. Quintile 3"
"HH.DHS.TR.12.Q4","DHS: Transition rate. Primary to Secondary. Quintile 4"
"HH.DHS.TR.12.Q5","DHS: Transition rate. Primary to Secondary. Quintile 5"
"HH.DHS.TR.12.R","DHS: Transition rate. Primary to Secondary. Rural"
"HH.DHS.TR.12.U","DHS: Transition rate. Primary to Secondary. Urban"
"HH.DHS.OOST.DO","DHS: Typology of out-of-school children. Primary. Dropped out"
"HH.DHS.OOST.DO.F","DHS: Typology of out-of-school children. Primary. Dropped out. Female"
"HH.DHS.OOST.DO.M","DHS: Typology of out-of-school children. Primary. Dropped out. Male"
"HH.DHS.OOST.DO.Q1","DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 1"
"HH.DHS.OOST.DO.Q2","DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 2"
"HH.DHS.OOST.DO.Q3","DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 3"
"HH.DHS.OOST.DO.Q4","DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 4"
"HH.DHS.OOST.DO.Q5","DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 5"
"HH.DHS.OOST.DO.R","DHS: Typology of out-of-school children. Primary. Dropped out. Rural"
"HH.DHS.OOST.DO.U","DHS: Typology of out-of-school children. Primary. Dropped out. Urban"
"HH.DHS.OOST.L","DHS: Typology of out-of-school children. Primary. Late entry"
"HH.DHS.OOST.L.F","DHS: Typology of out-of-school children. Primary. Late entry. Female"
"HH.DHS.OOST.L.M","DHS: Typology of out-of-school children. Primary. Late entry. Male"
"HH.DHS.OOST.L.Q1","DHS: Typology of out-of-school children. Primary. Late entry. Quintile 1"
"HH.DHS.OOST.L.Q2","DHS: Typology of out-of-school children. Primary. Late entry. Quintile 2"
"HH.DHS.OOST.L.Q3","DHS: Typology of out-of-school children. Primary. Late entry. Quintile 3"
"HH.DHS.OOST.L.Q4","DHS: Typology of out-of-school children. Primary. Late entry. Quintile 4"
"HH.DHS.OOST.L.Q5","DHS: Typology of out-of-school children. Primary. Late entry. Quintile 5"
"HH.DHS.OOST.L.R","DHS: Typology of out-of-school children. Primary. Late entry. Rural"
"HH.DHS.OOST.L.U","DHS: Typology of out-of-school children. Primary. Late entry. Urban"
"HH.DHS.OOST.X","DHS: Typology of out-of-school children. Primary. Never in school"
"HH.DHS.OOST.X.F","DHS: Typology of out-of-school children. Primary. Never in school. Female"
"HH.DHS.OOST.X.M","DHS: Typology of out-of-school children. Primary. Never in school. Male"
"HH.DHS.OOST.X.Q1","DHS: Typology of out-of-school children. Primary. Never in school. Quintile 1"
"HH.DHS.OOST.X.Q2","DHS: Typology of out-of-school children. Primary. Never in school. Quintile 2"
"HH.DHS.OOST.X.Q3","DHS: Typology of out-of-school children. Primary. Never in school. Quintile 3"
"HH.DHS.OOST.X.Q4","DHS: Typology of out-of-school children. Primary. Never in school. Quintile 4"
"HH.DHS.OOST.X.Q5","DHS: Typology of out-of-school children. Primary. Never in school. Quintile 5"
"HH.DHS.OOST.X.R","DHS: Typology of out-of-school children. Primary. Never in school. Rural"
"HH.DHS.OOST.X.U","DHS: Typology of out-of-school children. Primary. Never in school. Urban"
"UIS.DR.2.GPV.G1.T","Drop-out rate from Grade 1 of lower secondary general education, both sexes (%)"
"UIS.DR.2.GPV.G1.F","Drop-out rate from Grade 1 of lower secondary general education, female (%)"
"UIS.DR.2.GPV.G1.M","Drop-out rate from Grade 1 of lower secondary general education, male (%)"
"UIS.DR.1.G1","Drop-out rate from Grade 1 of primary education, both sexes (%)"
"UIS.DR.1.G1.F","Drop-out rate from Grade 1 of primary education, female (%)"
"UIS.DR.1.G1.M","Drop-out rate from Grade 1 of primary education, male (%)"
"UIS.DR.2.GPV.G2.T","Drop-out rate from Grade 2 of lower secondary general education, both sexes (%)"
"UIS.DR.2.GPV.G2.F","Drop-out rate from Grade 2 of lower secondary general education, female (%)"
"UIS.DR.2.GPV.G2.M","Drop-out rate from Grade 2 of lower secondary general education, male (%)"
"UIS.DR.1.G2","Drop-out rate from Grade 2 of primary education, both sexes (%)"
"UIS.DR.1.G2.F","Drop-out rate from Grade 2 of primary education, female (%)"
"UIS.DR.1.G2.M","Drop-out rate from Grade 2 of primary education, male (%)"
"UIS.DR.2.GPV.G3.T","Drop-out rate from Grade 3 of lower secondary general education, both sexes (%)"
"UIS.DR.2.GPV.G3.F","Drop-out rate from Grade 3 of lower secondary general education, female (%)"
"UIS.DR.2.GPV.G3.M","Drop-out rate from Grade 3 of lower secondary general education, male (%)"
"UIS.DR.1.G3","Drop-out rate from Grade 3 of primary education, both sexes (%)"
"UIS.DR.1.G3.F","Drop-out rate from Grade 3 of primary education, female (%)"
"UIS.DR.1.G3.M","Drop-out rate from Grade 3 of primary education, male (%)"
"UIS.DR.2.GPV.G4.T","Drop-out rate from Grade 4 of lower secondary general education, both sexes (%)"
"UIS.DR.2.GPV.G4.F","Drop-out rate from Grade 4 of lower secondary general education, female (%)"
"UIS.DR.2.GPV.G4.M","Drop-out rate from Grade 4 of lower secondary general education, male (%)"
"UIS.DR.1.G4","Drop-out rate from Grade 4 of primary education, both sexes (%)"
"UIS.DR.1.G4.F","Drop-out rate from Grade 4 of primary education, female (%)"
"UIS.DR.1.G4.M","Drop-out rate from Grade 4 of primary education, male (%)"
"UIS.DR.2.GPV.G5.T","Drop-out rate from Grade 5 of lower secondary general education, both sexes (%)"
"UIS.DR.2.GPV.G5.F","Drop-out rate from Grade 5 of lower secondary general education, female (%)"
"UIS.DR.2.GPV.G5.M","Drop-out rate from Grade 5 of lower secondary general education, male (%)"
"UIS.DR.1.G5","Drop-out rate from Grade 5 of primary education, both sexes (%)"
"UIS.DR.1.G5.F","Drop-out rate from Grade 5 of primary education, female (%)"
"UIS.DR.1.G5.M","Drop-out rate from Grade 5 of primary education, male (%)"
"UIS.DR.1.G6","Drop-out rate from Grade 6 of primary education, both sexes (%)"
"UIS.DR.1.G6.F","Drop-out rate from Grade 6 of primary education, female (%)"
"UIS.DR.1.G6.M","Drop-out rate from Grade 6 of primary education, male (%)"
"SE.COM.DURS","Duration of compulsory education (years)"
"UIS.ESL.1.T","Early school leavers from primary education, both sexes (number)"
"UIS.ESL.1.F","Early school leavers from primary education, female (number)"
"UIS.ESL.1.M","Early school leavers from primary education, male (number)"
"SE.SEC.PROG.ZS","Effective transition rate from primary to lower secondary general education, both sexes (%)"
"SE.SEC.PROG.FE.ZS","Effective transition rate from primary to lower secondary general education, female (%)"
"UIS.TRANRA.23.GPV.GPI","Effective transition rate from primary to lower secondary general education, gender parity index (GPI)"
"SE.SEC.PROG.MA.ZS","Effective transition rate from primary to lower secondary general education, male (%)"
"LO.EGRA.CWPM.AFA.2GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Afan Oromo. 2nd Grade"
"LO.EGRA.CWPM.AFA.3GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Afan Oromo. 3rd Grade"
"LO.EGRA.CWPM.AMH.2GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Amharic. 2nd Grade"
"LO.EGRA.CWPM.AMH.3GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Amharic. 3rd Grade"
"LO.EGRA.CWPM.ARB.2GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Arabic. 2nd Grade"
"LO.EGRA.CWPM.BMN.2GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Bamanankan. 2nd Grade"
"LO.EGRA.CWPM.BOM.2GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Bomu. 2nd Grade"
"LO.EGRA.CWPM.CHC.2GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Chichewa. 2nd Grade"
"LO.EGRA.CWPM.CHC.4GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Chichewa. 4th Grade"
"LO.EGRA.CWPM.ENG.2GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). English. 2nd Grade"
"LO.EGRA.CWPM.ENG.3GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). English. 3rd Grade"
"LO.EGRA.CWPM.ENG.4GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). English. 4th Grade"
"LO.EGRA.CWPM.ENG.6GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). English. 6th Grade"
"LO.EGRA.CWPM.FLP.3GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Filipino. 3rd Grade"
"LO.EGRA.CWPM.FLF.2GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Fulfulde. 2nd Grade"
"LO.EGRA.CWPM.HAR.2GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Hararigna. 2nd Grade"
"LO.EGRA.CWPM.HAR.3GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Hararigna. 3rd Grade"
"LO.EGRA.CWPM.KNY.4GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Kinyarwanda. 4th Grade"
"LO.EGRA.CWPM.KNY.6GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Kinyarwanda. 6th Grade"
"LO.EGRA.CWPM.KIS.2GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Kiswahili. 2nd Grade"
"LO.EGRA.CWPM.SID.2GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Sidaamu Afoo. 2nd Grade"
"LO.EGRA.CWPM.SID.3GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Sidaamu Afoo. 3rd Grade"
"LO.EGRA.CWPM.SOM.2GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Somaligna. 2nd Grade"
"LO.EGRA.CWPM.SOM.3GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Somaligna. 3rd Grade"
"LO.EGRA.CWPM.SNG.2GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Songhoi. 2nd Grade"
"LO.EGRA.CWPM.SPN.2GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Spanish. 2nd Grade"
"LO.EGRA.CWPM.SPN.3GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Spanish. 3rd Grade"
"LO.EGRA.CWPM.SPN.4GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Spanish. 4th Grade"
"LO.EGRA.CWPM.TIG.2GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Tigrinya. 2nd Grade"
"LO.EGRA.CWPM.TIG.3GRD","EGRA: Correct Isolated Words Read Per Minute (Mean). Tigrinya. 3rd Grade"
"LO.EGRA.CLPM.AFA.2GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Afan Oromo. 2nd Grade"
"LO.EGRA.CLPM.AFA.3GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Afan Oromo. 3rd Grade"
"LO.EGRA.CLPM.AMH.2GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Amharic. 2nd Grade"
"LO.EGRA.CLPM.AMH.3GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Amharic. 3rd Grade"
"LO.EGRA.CLPM.BMN.2GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Bamanankan. 2nd Grade"
"LO.EGRA.CLPM.BOM.2GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Bomu. 2nd Grade"
"LO.EGRA.CLPM.CHC.2GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Chichewa. 2nd Grade"
"LO.EGRA.CLPM.CHC.4GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Chichewa. 4th Grade"
"LO.EGRA.CLPM.ENG.2GRD","EGRA: Correct Letter Names Read Per Minute (Mean). English. 2nd Grade"
"LO.EGRA.CLPM.ENG.3GRD","EGRA: Correct Letter Names Read Per Minute (Mean). English. 3rd Grade"
"LO.EGRA.CLPM.ENG.4GRD","EGRA: Correct Letter Names Read Per Minute (Mean). English. 4th Grade"
"LO.EGRA.CLPM.FRN.3GRD","EGRA: Correct Letter Names Read Per Minute (Mean). French. 3rd Grade"
"LO.EGRA.CLPM.FLF.2GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Fulfulde. 2nd Grade"
"LO.EGRA.CLPM.HAR.2GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Hararigna. 2nd Grade"
"LO.EGRA.CLPM.HAR.3GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Hararigna. 3rd Grade"
"LO.EGRA.CLPM.SID.2GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Sidaamu Afoo. 2nd Grade"
"LO.EGRA.CLPM.SID.3GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Sidaamu Afoo. 3rd Grade"
"LO.EGRA.CLPM.SOM.2GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Somaligna. 2nd Grade"
"LO.EGRA.CLPM.SOM.3GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Somaligna. 3rd Grade"
"LO.EGRA.CLPM.SNG.2GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Songhoi. 2nd Grade"
"LO.EGRA.CLPM.SPN.2GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Spanish. 2nd Grade"
"LO.EGRA.CLPM.SPN.3GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Spanish. 3rd Grade"
"LO.EGRA.CLPM.SPN.4GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Spanish. 4th Grade"
"LO.EGRA.CLPM.TIG.2GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Tigrinya. 2nd Grade"
"LO.EGRA.CLPM.TIG.3GRD","EGRA: Correct Letter Names Read Per Minute (Mean). Tigrinya. 3rd Grade"
"LO.EGRA.CLSPM.AKU.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Akuapem. 2nd Grade"
"LO.EGRA.CLSPM.ARB.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Arabic. 2nd Grade"
"LO.EGRA.CLSPM.ARB.3GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Arabic. 3rd Grade"
"LO.EGRA.CLSPM.AST.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Asante Twi. 2nd Grade"
"LO.EGRA.CLSPM.CHI.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Chitonga. 2nd Grade"
"LO.EGRA.CLSPM.CIN.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Cinyanja. 2nd Grade"
"LO.EGRA.CLSPM.DAG.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Dagaare. 2nd Grade"
"LO.EGRA.CLSPM.DAGB.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Dagbani. 2nd Grade"
"LO.EGRA.CLSPM.DAN.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Dangme. 2nd Grade"
"LO.EGRA.CLSPM.ENG.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). English. 2nd Grade"
"LO.EGRA.CLSPM.ENG.3GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). English. 3rd Grade"
"LO.EGRA.CLSPM.ENG.4GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). English. 4th Grade"
"LO.EGRA.CLSPM.ENG.6GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). English. 6th Grade"
"LO.EGRA.CLSPM.EWE.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Ewe. 2nd Grade"
"LO.EGRA.CLSPM.FAN.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Fante. 2nd Grade"
"LO.EGRA.CLSPM.FLP.3GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Filipino. 3rd Grade"
"LO.EGRA.CLSPM.GA.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Ga. 2nd Grade"
"LO.EGRA.CLSPM.GON.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Gonja. 2nd Grade"
"LO.EGRA.CLSPM.ICI.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Icibemba. 2nd Grade"
"LO.EGRA.CLSPM.IND.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Indonesian. 2nd Grade"
"LO.EGRA.CLSPM.KAS.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Kasem. 2nd Grade"
"LO.EGRA.CLSPM.KII.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Kiikaonde. 2nd Grade"
"LO.EGRA.CLSPM.KNY.4GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Kinyarwanda. 4th Grade"
"LO.EGRA.CLSPM.KNY.6GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Kinyarwanda. 6th Grade"
"LO.EGRA.CLSPM.LUN.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Lunda. 2nd Grade"
"LO.EGRA.CLSPM.LUV.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Luvale. 2nd Grade"
"LO.EGRA.CLSPM.NZE.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Nzema. 2nd Grade"
"LO.EGRA.CLSPM.SIL.2GRD","EGRA: Correct Letter Sounds Read Per Minute (Mean). Silozi. 2nd Grade"
"LO.EGRA.NCWPM.AFA.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Afan Oromo. 2nd Grade"
"LO.EGRA.NCWPM.AFA.3GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Afan Oromo. 3rd Grade"
"LO.EGRA.NCWPM.AKU.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Akuapem. 2nd Grade"
"LO.EGRA.NCWPM.AMH.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Amharic. 2nd Grade"
"LO.EGRA.NCWPM.AMH.3GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Amharic. 3rd Grade"
"LO.EGRA.NCWPM.ARB.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Arabic. 2nd Grade"
"LO.EGRA.NCWPM.ARB.3GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Arabic. 3rd Grade"
"LO.EGRA.NCWPM.AST.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Asante Twi. 2nd Grade"
"LO.EGRA.NCWPM.BMN.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Bamanankan. 2nd Grade"
"LO.EGRA.NCWPM.BOM.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Bomu. 2nd Grade"
"LO.EGRA.NCWPM.CHC.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Chichewa. 2nd Grade"
"LO.EGRA.NCWPM.CHC.4GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Chichewa. 4th Grade"
"LO.EGRA.NCWPM.CHI.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Chitonga. 2nd Grade"
"LO.EGRA.NCWPM.CIN.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Cinyanja. 2nd Grade"
"LO.EGRA.NCWPM.DAG.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Dagaare. 2nd Grade"
"LO.EGRA.NCWPM.DAGB.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Dagbani. 2nd Grade"
"LO.EGRA.NCWPM.DAN.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Dangme. 2nd Grade"
"LO.EGRA.NCWPM.ENG.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). English. 2nd Grade"
"LO.EGRA.NCWPM.ENG.3GRD","EGRA: Correct Non-Words Read Per Minute (Mean). English. 3rd Grade"
"LO.EGRA.NCWPM.ENG.4GRD","EGRA: Correct Non-Words Read Per Minute (Mean). English. 4th Grade"
"LO.EGRA.NCWPM.ENG.6GRD","EGRA: Correct Non-Words Read Per Minute (Mean). English. 6th Grade"
"LO.EGRA.NCWPM.EWE.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Ewe. 2nd Grade"
"LO.EGRA.NCWPM.FAN.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Fante. 2nd Grade"
"LO.EGRA.NCWPM.FLP.3GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Filipino. 3rd Grade"
"LO.EGRA.NCWPM.FRN.3GRD","EGRA: Correct Non-Words Read Per Minute (Mean). French. 3rd Grade"
"LO.EGRA.NCWPM.FLF.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Fulfulde. 2nd Grade"
"LO.EGRA.NCWPM.GA.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Ga. 2nd Grade"
"LO.EGRA.NCWPM.GON.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Gonja. 2nd Grade"
"LO.EGRA.NCWPM.HAR.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Hararigna. 2nd Grade"
"LO.EGRA.NCWPM.HAR.3GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Hararigna. 3rd Grade"
"LO.EGRA.NCWPM.ICI.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Icibemba. 2nd Grade"
"LO.EGRA.NCWPM.IND.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Indonesian. 2nd Grade"
"LO.EGRA.NCWPM.KAS.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Kasem. 2nd Grade"
"LO.EGRA.NCWPM.KII.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Kiikaonde. 2nd Grade"
"LO.EGRA.NCWPM.KNY.4GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Kinyarwanda. 4th Grade"
"LO.EGRA.NCWPM.KNY.6GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Kinyarwanda. 6th Grade"
"LO.EGRA.NCWPM.KIS.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Kiswahili. 2nd Grade"
"LO.EGRA.NCWPM.LUN.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Lunda. 2nd Grade"
"LO.EGRA.NCWPM.LUV.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Luvale. 2nd Grade"
"LO.EGRA.NCWPM.NZE.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Nzema. 2nd Grade"
"LO.EGRA.NCWPM.SID.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Sidaamu Afoo. 2nd Grade"
"LO.EGRA.NCWPM.SID.3GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Sidaamu Afoo. 3rd Grade"
"LO.EGRA.NCWPM.SIL.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Silozi. 2nd Grade"
"LO.EGRA.NCWPM.SOM.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Somaligna. 2nd Grade"
"LO.EGRA.NCWPM.SOM.3GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Somaligna. 3rd Grade"
"LO.EGRA.NCWPM.SNG.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Songhoi. 2nd Grade"
"LO.EGRA.NCWPM.SPN.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Spanish. 2nd Grade"
"LO.EGRA.NCWPM.SPN.3GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Spanish. 3rd Grade"
"LO.EGRA.NCWPM.SPN.4GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Spanish. 4th Grade"
"LO.EGRA.NCWPM.TIG.2GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Tigrinya. 2nd Grade"
"LO.EGRA.NCWPM.TIG.3GRD","EGRA: Correct Non-Words Read Per Minute (Mean). Tigrinya. 3rd Grade"
"LO.EGRA.INIT.0.BMN.2GRD","EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). Bamanankan. 2nd Grade"
"LO.EGRA.INIT.0.BOM.2GRD","EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). Bomu. 2nd Grade"
"LO.EGRA.INIT.0.CHC.2GRD","EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). Chichewa. 2nd Grade"
"LO.EGRA.INIT.0.CHC.4GRD","EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). Chichewa. 4th Grade"
"LO.EGRA.INIT.0.ENG.2GRD","EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). English. 2nd Grade"
"LO.EGRA.INIT.0.ENG.3GRD","EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). English. 3rd Grade"
"LO.EGRA.INIT.0.ENG.4GRD","EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). English. 4th Grade"
"LO.EGRA.INIT.0.ENG.6GRD","EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). English. 6th Grade"
"LO.EGRA.INIT.0.FLF.2GRD","EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). Fulfulde. 2nd Grade"
"LO.EGRA.INIT.0.KNY.4GRD","EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). Kinyarwanda. 4th Grade"
"LO.EGRA.INIT.0.KNY.6GRD","EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). Kinyarwanda. 6th Grade"
"LO.EGRA.INIT.0.SNG.2GRD","EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). Songhoi. 2nd Grade"
"LO.EGRA.INIT.0.SPN.2GRD","EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). Spanish. 2nd Grade"
"LO.EGRA.INIT.0.SPN.3GRD","EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). Spanish. 3rd Grade"
"LO.EGRA.INIT.0.SPN.4GRD","EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). Spanish. 4th Grade"
"LO.EGRA.LSTN.0.AFA.2GRD","EGRA: Listening Comprehension - Share of students with a zero score (%). Afan Oromo. 2nd Grade"
"LO.EGRA.LSTN.0.AFA.3GRD","EGRA: Listening Comprehension - Share of students with a zero score (%). Afan Oromo. 3rd Grade"
"LO.EGRA.LSTN.0.AKU.2GRD","EGRA: Listening Comprehension - Share of students with a zero score (%). Akuapem. 2nd Grade"
"LO.EGRA.LSTN.0.AMH.2GRD","EGRA: Listening Comprehension - Share of students with a zero score (%). Amharic. 2nd Grade"
"LO.EGRA.LSTN.0.AMH.3GRD","EGRA: Listening Comprehension - Share of students with a zero score (%). Amharic. 3rd Grade"
"LO.EGRA.LSTN.0.ARB.2GRD","EGRA: Listening Comprehension - Share of students with a zero score (%). Arabic. 2nd Grade"
"LO.EGRA.LSTN.0.ARB.3GRD","EGRA: Listening Comprehension - Share of students with a zero score (%). Arabic. 3rd Grade"
"LO.EGRA.LSTN.0.AST.2GRD","EGRA: Listening Comprehension - Share of students with a zero score (%). Asante Twi. 2nd Grade"
"LO.EGRA.LSTN.0.BMN.2GRD","EGRA: Listening Comprehension - Share of students with a zero score (%). Bamanankan. 2nd Grade"
"LO.EGRA.LSTN.0.BOM.2GRD","EGRA: Listening Comprehension - Share of students with a zero score (%). Bomu. 2nd Grade"
"LO.EGRA.LSTN.0.CHC.2GRD","EGRA: Listening Comprehension - Share of students with a zero score (%). Chichewa. 2nd Grade"
